Column1,column ID,ID,Age,Customer_type,Gross_income,Net_income,Valid,SEX,Type_of_industry,Marital_Status,Months_in_city,Months_in_current_job,Org_Type,Debt_ratio,Target,ENQ_1,ENQ_2,ENQ_3,ENQ_4,ENQ_5,ENQ_6,ENQ_7,ENQ_8,ACCOUNT_9,ACCOUNT_10,ACCOUNT_11,ACCOUNT_12,ACCOUNT_13,ACCOUNT_14,ACCOUNT_15,ACCOUNT_16,ACCOUNT_17,ACCOUNT_18,ACCOUNT_19,ACCOUNT_20,ACCOUNT_21,bank_balance
757,1099,785,59,SELF EMPLOYED,18750,18750,1,MALE,OTHERS,MARRIED,600,58,INDIVIDUAL,1.57,1,331,331,0,0,1,1,1,1,5,6,727,5,0,4,1,0,1,274745,0,274745,727,34547
758,1100,67,34,SALARIED,39188,39188,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.46,0,10,47,8,2,16,6,49,10,1,4,21,9,1,7,5,1,3,1621913,1581627,40286,726,18132
759,1101,3454,43,SELF EMPLOYED,54771.42,54771.42,1,MALE,OTHERS,MARRIED,0,113,INDIVIDUAL,0.22,0,157,1792,0,0,2,0,7,4,0,0,143,3,1,2,3,1,2,2182534,1252789,929745,726,143413
760,1102,3485,45,SELF EMPLOYED,36809.5,36809.5,1,MALE,OTHERS,MARRIED,0,240,INDIVIDUAL,0.39,0,36,36,2,2,7,5,14,10,0,1,724,2,1,1,2,1,1,1592967,1545319,47648,726,3604
761,1103,3845,34,SALARIED,39188,39188,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.46,0,10,47,8,2,16,6,49,10,1,4,21,9,1,7,5,1,3,1621913,1581627,40286,726,18132
762,1104,191,41,SELF EMPLOYED,328166.42,328166.42,1,MALE,OTHERS,MARRIED,360,84,INDIVIDUAL,0.73,0,75,259,1,0,11,5,27,12,0,0,74,10,4,4,7,3,2,44438731,43172516,1266215,725,2142312
763,1106,1988,47,SELF EMPLOYED,55000,55000,1,FEMALE,OTHERS,MARRIED,0,120,INDIVIDUAL,0.41,0,21,77,3,1,6,2,10,3,0,0,725,1,0,1,1,0,1,11843,0,11843,725,170096.472
764,1108,2628,47,SELF EMPLOYED,36068.33,36068.33,1,FEMALE,CONSUMER PRODUCTS,MARRIED,84,28,PROPRIETORSHIP,0.21,1,274,0,0,0,1,0,2,0,0,0,710,2,2,0,2,2,0,1155972,1155972,0,725,1649
765,1110,749,49,SELF EMPLOYED,29141.67,29141.67,1,MALE,OTHERS,MARRIED,480,9,PROPRIETORSHIP,0.2,0,725,725,0,0,0,0,2,2,0,0,724,1,1,0,1,1,0,405436,405436,0,724,3971
766,1113,642,41,SELF EMPLOYED,75654.5,75654.5,1,FEMALE,OTHERS,MARRIED,480,120,PROPRIETORSHIP,0.95,0,36,128,1,0,5,1,13,1,0,0,719,5,0,1,2,0,1,529933,518957,10976,723,424337
767,1116,2207,45,SALARIED,43000,43000,1,MALE,OTHERS,MARRIED,36,48,PROPRIETORSHIP,0.6,0,14,14,3,1,5,1,17,3,0,0,172,8,1,3,4,0,2,10296,0,10296,723,170096.472
768,1117,980,42,SALARIED,550000,35200,1,MALE,OTHERS,MARRIED,120,0,INDIVIDUAL,0.5,0,26,133,1,0,13,2,31,2,0,1,688,8,0,6,3,0,2,321618,237859,83759,722,11999
769,1118,1020,54,SELF EMPLOYED,60584.83,60584.83,1,MALE,OTHERS,MARRIED,36,36,PROPRIETORSHIP,0.25,0,11,11,1,1,1,1,6,1,0,0,722,2,0,0,1,0,0,231060,231060,0,722,142958
770,1119,1377,34,SELF EMPLOYED,25535.67,25535.67,1,MALE,OTHERS,MARRIED,360,0,PROPRIETORSHIP,0.5,1,286,0,0,0,1,0,9,0,0,0,455,6,0,5,2,0,1,37895,23873,14022,722,44523
771,1120,2869,29,SELF EMPLOYED,50000,50000,1,MALE,OTHERS,MARRIED,36,39,PROPRIETORSHIP,0.42,0,10,27,2,1,13,2,20,2,0,0,175,3,0,3,3,0,3,96857,0,96857,722,31976
772,1121,1308,26,SALARIED,43497,43497,1,MALE,OTHERS,SINGLE,120,8,INDIVIDUAL,0.51,0,137,137,0,0,2,1,7,1,1,1,127,6,1,3,2,0,2,41462,0,41462,721,20245
773,1123,2365,42,SELF EMPLOYED,61333.67,61333.67,1,MALE,OTHERS,MARRIED,492,52,INDIVIDUAL,0.27,0,2,746,1,0,5,0,24,7,0,0,720,7,1,4,2,1,1,3509625,1750880,1758745,720,963964
774,1125,572,39,SALARIED,31223,28735,1,MALE,OTHERS,MARRIED,360,252,INDIVIDUAL,0.7,1,6,128,1,0,2,1,5,2,0,0,269,14,0,12,4,0,3,929261,260503,668758,719,53904
775,1129,188,47,SELF EMPLOYED,39197.17,39197.17,1,MALE,OTHERS,MARRIED,0,120,INDIVIDUAL,0.79,0,143,525,0,0,8,0,20,2,5,5,140,8,1,5,4,0,3,816947,150837,666110,717,63378
776,1134,1660,33,SELF EMPLOYED,83333.33,83333.33,1,MALE,OTHERS,MARRIED,144,7,INDIVIDUAL,0.11,0,4,4,3,1,5,3,14,3,5,5,319,5,1,3,4,1,3,1695421,955353,740068,715,239367
777,1135,2823,44,SALARIED,35396,34523,1,MALE,HEALTHCARE AND HEALTHCARE PROVIDERS,MARRIED,120,84,INDIVIDUAL,0.39,0,3,3,2,2,4,3,22,3,1,1,139,23,0,11,6,0,6,322140,0,322140,715,170096.472
778,1136,623,31,SELF EMPLOYED,90649.08,90649.08,1,MALE,INDUSTRIAL EQUIPMENT,MARRIED,0,36,PROPRIETORSHIP,0.48,0,5,37,4,1,12,2,40,2,0,0,161,19,0,16,6,0,6,1017976,0,1017976,714,35102
779,1138,1770,36,SELF EMPLOYED,33750,33750,1,MALE,OTHERS,MARRIED,384,7,INDIVIDUAL,0.51,0,1449,0,0,0,0,0,1,0,0,0,714,2,0,1,1,0,1,14160,0,14160,714,164833
780,1139,1259,41,SELF EMPLOYED,447824.83,447824.83,1,FEMALE,OTHERS,MARRIED,120,49,PROPRIETORSHIP,0.05,0,47,925,2,0,3,0,11,6,0,0,713,2,1,1,1,0,1,3218455,0,3218455,713,139231
781,1140,1743,29,SELF EMPLOYED,27473,27473,1,MALE,OTHERS,MARRIED,216,0,INDIVIDUAL,0.82,0,4,4,1,1,1,1,4,2,0,0,713,3,2,1,2,2,0,2118249,2118249,0,713,42617
782,1143,1288,35,SELF EMPLOYED,40000,40000,1,MALE,OTHERS,MARRIED,0,48,INDIVIDUAL,0.6,0,14,14,2,2,2,2,8,2,0,0,712,1,0,1,1,0,1,4306,0,4306,712,76620
783,1144,3345,45,SELF EMPLOYED,34412,34412,1,MALE,OTHERS,MARRIED,0,4,PROPRIETORSHIP,0.57,0,413,0,0,0,0,0,7,0,3,3,68,22,1,3,3,1,1,122359,112124,10235,712,117619
784,1145,1838,37,SALARIED,50000,48199,1,MALE,OTHERS,MARRIED,0,12,INDIVIDUAL,0.41,0,51,51,3,2,6,3,9,6,0,0,711,2,1,1,1,1,0,1631246,1631246,0,711,38424
785,1146,2212,42,SELF EMPLOYED,33290,33290,1,MALE,OTHERS,MARRIED,504,300,PROPRIETORSHIP,0.44,0,5,5,1,1,1,1,3,1,0,0,711,1,0,1,1,0,1,800,0,800,711,170096.472
786,1148,2074,41,SALARIED,10000,10000,1,FEMALE,OTHERS,MARRIED,96,0,INDIVIDUAL,0.57,0,31,35,2,1,3,2,4,3,0,0,297,2,2,0,2,2,0,483754,483754,0,710,170096.472
787,1149,3249,28,SALARIED,29912,29912,1,MALE,OTHERS,SINGLE,60,0,INDIVIDUAL,0.55,0,23,23,4,2,7,2,26,2,0,1,76,9,0,9,5,0,5,217414,0,217414,710,170096.472
788,1151,1249,54,SELF EMPLOYED,78464,78464,1,FEMALE,OTHERS,MARRIED,216,60,INDIVIDUAL,0.19,0,4,103,1,0,2,1,6,2,0,7,52,8,1,4,3,1,1,2102308,1061793,1040515,709,16762
789,1152,1802,37,SELF EMPLOYED,33333.33,33333.33,1,MALE,OTHERS,MARRIED,0,122,INDIVIDUAL,0.41,0,23,23,1,1,4,2,8,4,0,1,195,6,3,2,4,3,1,3313249,3124877,188372,709,32454
790,1153,2050,62,NON EARNING,50000,50000,1,MALE,TRANSPORT LOGISTICS,MARRIED,744,84,INDIVIDUAL,0.18,1,15,15,1,1,2,2,4,2,6,6,709,1,0,1,1,0,1,25305,0,25305,709,170096.472
791,1154,3165,27,SALARIED,38822,38822,1,MALE,OTHERS,SINGLE,96,0,INDIVIDUAL,0.58,0,24,24,1,1,2,1,6,1,0,0,394,2,0,2,2,0,2,1981,0,1981,709,26176
792,1155,374,27,SALARIED,23000,21976,1,MALE,OTHERS,MARRIED,96,72,INDIVIDUAL,0.45,1,27,0,1,0,3,0,4,0,0,0,707,1,0,1,1,0,1,0,0,0,707,61328
793,1156,797,30,SELF EMPLOYED,33333.33,33333.33,1,MALE,OTHERS,MARRIED,324,14,INDIVIDUAL,1.46,0,12,12,2,2,2,2,10,8,0,0,595,2,2,0,2,2,0,3746388,3746388,0,707,780215
794,1159,823,34,SELF EMPLOYED,108235.5,108235.5,1,MALE,OTHERS,MARRIED,0,48,INDIVIDUAL,0.3,0,1,1,1,1,4,2,25,15,1,1,211,19,8,8,8,4,3,5072549,4213777,858772,706,244093
795,1160,22,42,SELF EMPLOYED,66666.67,66666.67,1,MALE,OTHERS,MARRIED,0,120,INDIVIDUAL,3.9,0,28,0,2,0,3,0,15,0,0,0,403,11,0,7,6,0,3,1086371,524152,562219,704,738366
796,1161,51,30,SALARIED,40000,40000,1,FEMALE,OTHERS,MARRIED,96,0,INDIVIDUAL,0.52,0,194,994,0,0,1,0,6,1,0,1,187,6,1,4,3,1,2,1072006,1005329,66677,704,163594
797,1163,1958,35,SELF EMPLOYED,10000000,10000000,1,MALE,TEXTILE READY MADE GARMENTS,MARRIED,240,60,PROPRIETORSHIP,0.01,0,131,131,0,0,6,4,12,4,3,3,180,8,0,5,4,0,3,722102,100861,621241,704,336490
798,1165,3800,42,SELF EMPLOYED,66666.67,66666.67,1,MALE,OTHERS,MARRIED,0,120,INDIVIDUAL,3.9,0,28,0,2,0,3,0,15,0,0,0,403,11,0,7,6,0,3,1086371,524152,562219,704,738366
799,1166,3829,30,SALARIED,40000,40000,1,FEMALE,OTHERS,MARRIED,96,0,INDIVIDUAL,0.52,0,194,994,0,0,1,0,6,1,0,1,187,6,1,4,3,1,2,1072006,1005329,66677,704,163594
800,1167,1613,36,SELF EMPLOYED,44057.33,44057.33,1,MALE,OTHERS,MARRIED,0,54,INDIVIDUAL,0.38,0,42,42,1,1,1,1,4,2,0,0,703,1,0,0,1,0,0,224481,224481,0,703,44488
801,1171,2445,35,SELF EMPLOYED,45917,45917,1,MALE,OTHERS,MARRIED,72,4,PROPRIETORSHIP,0.59,0,1,112,2,0,4,1,16,2,0,0,63,10,0,2,3,0,1,825987,816741,9246,701,69491
802,1172,3257,36,SELF EMPLOYED,19031.25,19031.25,1,MALE,OTHERS,MARRIED,144,13,INDIVIDUAL,2.64,0,18,18,5,2,14,2,50,3,1,1,173,15,1,8,8,1,5,3650961,1261772,2389189,701,1520616
803,1178,2644,40,SELF EMPLOYED,27750,27750,1,MALE,OTHERS,MARRIED,60,37,INDIVIDUAL,0.42,0,32,0,1,0,1,0,5,0,0,0,328,6,0,5,2,0,1,55546,9065,46481,699,170096.472
804,1180,760,27,SELF EMPLOYED,31415.83,31415.83,1,MALE,OTHERS,SINGLE,0,41,INDIVIDUAL,3.02,0,19,19,5,5,14,12,19,16,0,0,638,2,1,0,2,1,0,450775,450775,0,698,41127
805,1185,3300,37,SALARIED,1089050,103802,1,MALE,OTHERS,MARRIED,444,0,INDIVIDUAL,0.57,0,59,0,6,0,8,0,9,0,0,0,80,4,0,1,2,0,1,1324683,330289,994394,696,37609
806,1186,3644,46,SALARIED,40834,40834,1,MALE,OTHERS,MARRIED,48,0,GOVT (ONLY FOR SALARIED),0.54,0,709,0,0,0,0,0,2,0,0,0,696,2,0,2,1,0,1,289390,0,289390,696,9281
807,1187,2542,41,SELF EMPLOYED,33333.33,33333.33,1,MALE,OTHERS,MARRIED,180,180,INDIVIDUAL,0.64,1,3,3,1,1,1,1,2,1,6,6,695,1,0,0,1,0,0,0,0,0,695,42836
808,1190,2918,54,SELF EMPLOYED,61036,61036,1,MALE,TEXTILES,MARRIED,0,0,PROPRIETORSHIP,0.51,0,694,1431,0,0,0,0,6,1,0,0,693,11,1,9,1,0,1,29279,0,29279,693,271449
809,1192,1444,31,SALARIED,16641,16641,1,MALE,OTHERS,MARRIED,120,0,INDIVIDUAL,0.55,0,161,0,0,0,2,0,6,0,0,0,270,4,0,4,4,0,4,96737,0,96737,691,10356
810,1193,1682,46,SELF EMPLOYED,32233,20833.33,1,FEMALE,OTHERS,MARRIED,0,156,PROPRIETORSHIP,0.59,0,22,22,3,3,5,3,9,5,0,0,639,3,2,1,2,1,1,910976,910976,0,691,170096.472
811,1194,1698,28,SALARIED,50000,45311,1,MALE,OTHERS,MARRIED,0,144,INDIVIDUAL,0.22,0,135,135,0,0,1,1,2,1,0,0,689,2,0,1,1,0,1,79253,0,79253,689,15712
812,1196,3681,40,SELF EMPLOYED,156000,156000,1,MALE,OTHERS,MARRIED,120,180,INDIVIDUAL,0.09,0,19,19,1,1,2,2,2,2,0,3,689,1,0,0,1,0,0,41383,41383,0,689,170096.472
813,1197,3759,40,SELF EMPLOYED,156000,156000,1,MALE,OTHERS,MARRIED,120,180,INDIVIDUAL,0.09,0,19,19,1,1,2,2,2,2,0,3,689,1,0,0,1,0,0,41383,41383,0,689,170096.472
814,1198,1584,35,SELF EMPLOYED,58566.67,58566.67,1,MALE,OTHERS,MARRIED,0,57,INDIVIDUAL,0.48,0,6,69,2,1,4,1,11,1,0,0,187,9,0,5,2,0,0,431507,431507,0,688,282240
815,1199,1719,46,SALARIED,50000,49717,1,MALE,OTHERS,MARRIED,0,312,GOVT (ONLY FOR SALARIED),0.33,0,692,692,0,0,0,0,5,1,0,0,688,3,1,1,1,1,0,1490794,1490794,0,688,47993
816,1200,3120,33,SELF EMPLOYED,36041.67,36041.67,1,MALE,OTHERS,MARRIED,144,15,INDIVIDUAL,1.28,0,98,98,0,0,4,2,28,4,6,6,289,34,0,10,3,0,2,103893,45158,58735,688,6865
817,1201,612,40,SELF EMPLOYED,64320,64320,1,MALE,FOOD PRODUCTS,MARRIED,240,48,INDIVIDUAL,1.02,0,2,41,4,3,10,3,29,4,0,0,113,22,0,15,8,0,4,581703,478897,102806,687,67120
818,1202,1577,48,SALARIED,49629,49629,1,MALE,OTHERS,MARRIED,576,288,INDIVIDUAL,0.24,0,708,708,0,0,0,0,2,2,0,0,687,1,1,0,1,1,0,880227,880227,0,687,30065
819,1204,1906,48,SELF EMPLOYED,102083.33,102083.33,1,MALE,OTHERS,MARRIED,577,73,INDIVIDUAL,0.18,1,341,341,0,0,2,2,4,2,0,0,340,2,1,1,2,1,1,1571673,1436499,135174,687,70004
820,1205,1942,54,SELF EMPLOYED,4166666.67,4166666.67,1,MALE,OTHERS,MARRIED,540,84,INDIVIDUAL,0.01,1,13,24,7,1,26,2,126,23,0,0,178,70,6,23,24,2,14,35680560,9009769,26670791,687,170096.472
821,1206,3371,36,SELF EMPLOYED,41720.67,41720.67,1,MALE,OTHERS,MARRIED,0,28,INDIVIDUAL,0.47,0,240,0,0,0,1,0,3,0,2,2,221,3,0,1,2,0,1,1001187,78860,922327,687,89730
822,1208,789,35,SELF EMPLOYED,79525.58,79525.58,1,MALE,OTHERS,MARRIED,60,5,INDIVIDUAL,0.25,0,8,8,10,4,20,5,51,11,0,0,83,22,1,20,9,1,8,2845073,1529725,1315348,686,39126
823,1209,1145,35,SALARIED,60000,60000,1,MALE,OTHERS,SINGLE,0,60,INDIVIDUAL,0.25,0,7,7,4,3,8,4,22,6,0,0,138,4,1,3,2,1,1,2452840,1632770,820070,686,45089
824,1211,62,46,SELF EMPLOYED,37293.33,37293.33,1,MALE,OTHERS,MARRIED,480,240,INDIVIDUAL,0.48,0,321,0,0,0,1,0,4,0,0,0,497,3,0,2,3,0,2,185194,181666,3528,685,56291
825,1212,1649,32,SALARIED,50000,24352,1,MALE,OTHERS,MARRIED,372,48,INDIVIDUAL,0.44,0,13,24,6,2,9,2,13,3,0,0,141,4,1,3,3,1,2,1166961,1111507,55454,685,22015
826,1215,2821,47,SELF EMPLOYED,75000,75000,1,MALE,CONSTRUCTION,MARRIED,120,48,INDIVIDUAL,0.29,0,6,6,1,1,1,1,4,1,0,0,685,5,0,0,1,0,0,46212,46212,0,685,170096.472
827,1216,2991,36,SALARIED,27000,27000,1,FEMALE,OTHERS,DIVORCED,0,24,INDIVIDUAL,0.5,0,40,40,1,1,1,1,1,1,0,0,685,2,0,0,2,0,0,0,0,0,685,7561
828,1217,3840,46,SELF EMPLOYED,37293.33,37293.33,1,MALE,OTHERS,MARRIED,480,240,INDIVIDUAL,0.48,0,321,0,0,0,1,0,4,0,0,0,497,3,0,2,3,0,2,185194,181666,3528,685,56291
829,1221,1125,32,SELF EMPLOYED,26116.83,26116.83,1,MALE,OTHERS,MARRIED,0,2,INDIVIDUAL,0.42,0,8,56,3,1,4,1,6,1,0,0,131,4,0,4,2,0,2,27145,0,27145,680,61766
830,1223,3104,42,SELF EMPLOYED,41041.67,41041.67,1,MALE,OTHERS,MARRIED,312,6,INDIVIDUAL,0.62,0,68,2774,3,0,11,0,69,2,0,0,103,18,1,13,7,0,7,1027368,0,1027368,680,121652
831,1224,3437,34,SELF EMPLOYED,83.33,83.33,1,MALE,OTHERS,MARRIED,0,120,INDIVIDUAL,754.33,1,1,44,23,1,36,1,94,1,1,2,429,12,0,12,9,0,9,757237,0,757237,680,62156
832,1225,1221,31,SELF EMPLOYED,39867.33,39867.33,1,MALE,OTHERS,MARRIED,0,19,INDIVIDUAL,0.36,0,7,7,4,4,10,4,57,8,0,0,243,14,1,12,10,1,8,2087709,1697596,390113,679,67196
833,1228,1138,45,SELF EMPLOYED,9349.5,9349.5,1,FEMALE,OTHERS,MARRIED,24,545,INDIVIDUAL,5.55,0,680,680,0,0,0,0,2,2,0,0,678,1,0,1,1,0,1,4206711,0,4206711,678,112195
834,1229,2613,44,SELF EMPLOYED,14792,14792,1,MALE,FOOD PRODUCTS,MARRIED,516,255,PROPRIETORSHIP,0.45,1,133,133,0,0,2,2,2,2,0,0,143,2,2,0,1,1,0,577080,577080,0,678,2513
835,1230,3404,36,SALARIED,28000,19000,1,MALE,OTHERS,MARRIED,24,96,INDIVIDUAL,0.38,0,409,409,0,0,0,0,1,1,0,0,391,2,1,1,2,1,1,709677,685189,24488,678,9260
836,1231,541,33,SELF EMPLOYED,41666.67,41666.67,1,MALE,OTHERS,MARRIED,252,180,PROPRIETORSHIP,0.21,0,54,987,1,0,1,0,2,1,0,0,48,4,2,0,2,2,0,3035171,3035171,0,677,68761
837,1232,1849,56,SALARIED,40066,28472,1,MALE,OTHERS,MARRIED,240,288,INDIVIDUAL,0.54,0,236,236,0,0,1,1,1,1,0,0,677,1,1,0,1,1,0,387855,387855,0,677,38754
838,1233,2982,42,SELF EMPLOYED,50485.83,50485.83,1,MALE,CONSTRUCTION,MARRIED,0,2,PROPRIETORSHIP,0.57,0,65,0,1,0,2,0,5,0,0,1,677,4,0,2,1,0,1,36855,0,36855,677,46283
839,1234,3093,48,SELF EMPLOYED,33880.83,33880.83,1,MALE,OTHERS,MARRIED,300,1,INDIVIDUAL,1.41,1,11,11,1,1,1,1,8,3,6,6,300,12,2,0,1,0,0,0,0,0,677,17097
840,1237,1716,42,SELF EMPLOYED,47667.5,47667.5,1,MALE,OTHERS,MARRIED,84,84,PROPRIETORSHIP,0.38,0,14,14,1,1,4,1,6,1,0,0,676,3,0,3,1,0,1,30716,0,30716,676,48714
841,1238,2119,31,SELF EMPLOYED,20500,20500,1,MALE,OTHERS,MARRIED,60,3,PROPRIETORSHIP,0.88,0,10,10,2,2,6,4,12,7,0,0,113,5,1,4,3,1,2,1578644,1555297,23347,676,57924
842,1239,3156,28,SELF EMPLOYED,50947.5,50947.5,1,FEMALE,OTHERS,MARRIED,336,7,INDIVIDUAL,0.64,0,87,113,1,0,6,2,9,2,0,0,418,4,0,2,2,0,1,273187,249038,24149,676,191057
843,1241,2673,55,SALARIED,68002,68002,1,MALE,OTHERS,MARRIED,48,0,GOVT (ONLY FOR SALARIED),0.25,0,174,983,0,0,5,0,9,2,0,2,187,5,3,2,4,2,2,1500068,859196,640872,675,33530
844,1243,2675,53,SELF EMPLOYED,75000,75000,1,MALE,OTHERS,MARRIED,480,0,INDIVIDUAL,0.39,0,15,34,2,1,3,1,17,7,2,2,236,16,5,2,8,3,2,3798664,3652413,146251,674,19416
845,1244,1696,41,SELF EMPLOYED,56250,56250,1,MALE,OTHERS,MARRIED,480,78,INDIVIDUAL,0.28,1,0,0,8,6,20,16,43,26,0,1,96,13,5,5,7,5,1,13390595,13390595,0,673,85395
846,1245,1697,41,SELF EMPLOYED,56250,56250,1,MALE,OTHERS,MARRIED,480,78,INDIVIDUAL,0.3,1,1,1,7,5,19,15,42,25,0,1,96,13,5,5,7,5,1,13390595,13390595,0,673,170096.472
847,1246,3719,31,SELF EMPLOYED,25151.67,25151.67,1,MALE,OTHERS,MARRIED,372,84,INDIVIDUAL,0.27,0,38,0,1,0,1,0,1,0,0,0,37,3,0,3,2,0,2,86129,0,86129,673,794
848,1247,3797,31,SELF EMPLOYED,25151.67,25151.67,1,MALE,OTHERS,MARRIED,372,84,INDIVIDUAL,0.27,0,38,0,1,0,1,0,1,0,0,0,37,3,0,3,2,0,2,86129,0,86129,673,794
849,1249,1237,28,SELF EMPLOYED,34966.83,34966.83,1,MALE,OTHERS,MARRIED,0,62,PROPRIETORSHIP,0.61,0,11,164,1,0,8,1,18,1,1,2,72,26,0,8,8,0,4,537260,192075,345185,672,78669
850,1250,1695,41,SELF EMPLOYED,56250,56250,1,MALE,OTHERS,MARRIED,480,78,INDIVIDUAL,0.21,1,1,1,6,4,18,14,41,24,0,1,95,13,5,5,7,5,1,13390595,13390595,0,672,90411
851,1252,3679,45,SELF EMPLOYED,103330,103330,1,MALE,TEXTILES,MARRIED,240,45,PROPRIETORSHIP,0.17,0,672,672,0,0,0,0,3,2,0,0,48,19,3,6,8,3,2,1336526,909513,427013,672,103355
852,1253,3757,45,SELF EMPLOYED,103330,103330,1,MALE,TEXTILES,MARRIED,240,45,PROPRIETORSHIP,0.17,0,672,672,0,0,0,0,3,2,0,0,48,19,3,6,8,3,2,1336526,909513,427013,672,103355
853,1254,953,32,SELF EMPLOYED,61583.33,61583.33,1,MALE,OTHERS,MARRIED,0,1,INDIVIDUAL,0.59,0,25,25,4,2,9,2,20,2,0,0,154,12,0,10,5,0,4,530508,85644,444864,671,46218
854,1255,1042,35,SALARIED,14672,14672,1,MALE,OTHERS,MARRIED,120,108,GOVT (ONLY FOR SALARIED),0.47,0,198,198,0,0,2,1,3,1,0,0,331,4,0,3,3,0,3,289077,0,289077,671,42060
855,1256,1685,41,SELF EMPLOYED,39250,39250,1,MALE,CONSTRUCTION,MARRIED,480,78,INDIVIDUAL,0.48,1,1,1,5,3,17,13,40,23,0,1,94,13,5,5,7,5,1,13390595,13390595,0,671,95059
856,1258,516,31,SALARIED,16000,16000,1,MALE,OTHERS,MARRIED,180,60,INDIVIDUAL,0,0,4,365,1,0,3,1,4,1,0,0,549,4,1,3,1,1,0,446050,446050,0,670,38263
857,1260,2924,46,SELF EMPLOYED,27507.75,27507.75,1,MALE,OTHERS,MARRIED,0,0,PROPRIETORSHIP,0.54,1,1,65,4,2,4,2,8,3,0,0,527,3,1,1,2,1,1,1127917,1118317,9600,670,9147
858,1261,1094,36,SELF EMPLOYED,98381.83,98381.83,1,MALE,MEDIA MOVIES AND ENTERTAINMENT,MARRIED,120,43,INDIVIDUAL,1.02,0,7,7,4,3,16,8,35,10,0,2,38,42,1,19,14,1,7,4697478,4389826,307652,669,171025
859,1262,1283,40,SELF EMPLOYED,48783.75,48783.75,1,MALE,OTHERS,MARRIED,0,41,INDIVIDUAL,0.69,0,15,15,5,3,16,7,39,8,7,7,112,14,1,7,4,0,2,6164995,931181,5233814,669,96063
860,1263,2090,45,SELF EMPLOYED,107458.33,107458.33,1,MALE,CONSTRUCTION,MARRIED,216,120,PROPRIETORSHIP,0.47,0,140,197,0,0,4,3,25,6,2,2,118,12,1,6,4,1,1,2913751,2881863,31888,669,143401
861,1264,919,50,SELF EMPLOYED,83333.33,83333.33,1,MALE,OTHERS,MARRIED,360,80,INDIVIDUAL,0.21,0,81,81,2,2,4,3,5,4,1,1,169,7,1,6,7,1,6,12944727,7489962,5454765,668,110130
862,1265,554,36,SELF EMPLOYED,57718.92,57718.92,1,MALE,OTHERS,MARRIED,432,120,PROPRIETORSHIP,0.59,0,31,31,2,2,5,3,5,3,7,7,80,25,0,0,5,0,0,247000,247000,0,667,32198
863,1266,1821,45,SALARIED,20000,20000,1,MALE,OTHERS,MARRIED,84,48,INDIVIDUAL,0.41,0,93,93,0,0,2,2,7,4,0,0,667,2,1,0,1,1,0,823826,823826,0,667,16899
864,1269,2908,47,SELF EMPLOYED,29843.92,29843.92,1,MALE,OTHERS,MARRIED,180,168,PROPRIETORSHIP,1.02,0,32,36,2,1,4,3,6,5,0,0,666,1,1,0,1,1,0,1884081,1884081,0,666,33372
865,1270,693,47,SELF EMPLOYED,45638.33,45638.33,1,MALE,OTHERS,MARRIED,360,106,PROPRIETORSHIP,0.7,0,6,6,1,1,1,1,9,1,0,0,665,5,0,1,1,0,1,68,0,68,665,48247
866,1271,904,44,SALARIED,36435,33653,1,MALE,OTHERS,MARRIED,0,0,INDIVIDUAL,0.37,0,23,0,1,0,6,0,22,0,0,1,137,14,0,7,5,0,3,601080,21500,579580,665,170096.472
867,1272,3335,29,SELF EMPLOYED,49474.08,49474.08,1,MALE,OTHERS,MARRIED,132,73,PROPRIETORSHIP,0.46,0,3,419,6,0,6,0,24,2,2,2,173,22,0,8,2,0,0,0,0,0,665,4452
868,1273,1331,30,SALARIED,70508.75,70508.75,1,MALE,OTHERS,MARRIED,65,21,INDIVIDUAL,0.28,0,674,0,0,0,0,0,2,0,0,0,664,1,0,1,1,0,1,195938,0,195938,664,6954
869,1274,1710,43,SALARIED,20000,18454,1,MALE,OTHERS,MARRIED,0,156,CLOSELY HELD - PUBLIC LIMITED,0.53,0,107,107,0,0,1,1,6,2,0,0,625,3,0,3,2,0,2,263711,0,263711,664,11127
870,1275,2422,24,SELF EMPLOYED,33725,33725,1,MALE,OTHERS,MARRIED,180,39,PROPRIETORSHIP,2.13,1,274,0,0,0,4,0,8,0,0,3,208,8,0,0,2,0,0,1122776,1122776,0,664,14279
871,1276,3302,40,SALARIED,26454,26454,1,MALE,TRANSPORT LOGISTICS,MARRIED,180,60,INDIVIDUAL,0.5,0,665,0,0,0,0,0,4,0,0,0,664,2,0,1,1,0,1,130394,0,130394,664,5727
872,1277,29,39,SELF EMPLOYED,41750,41750,1,MALE,OTHERS,MARRIED,120,120,INDIVIDUAL,0,0,93,93,0,0,9,1,18,1,1,1,238,3,0,2,2,0,1,59829,22848,36981,663,19925
873,1279,1169,38,SELF EMPLOYED,32059.17,32059.17,1,MALE,OTHERS,MARRIED,0,1,PROPRIETORSHIP,0.6,1,152,152,0,0,1,1,2,1,1,1,663,1,0,0,1,0,0,398056,398056,0,663,29717
874,1280,1358,39,SALARIED,32200,32000,1,MALE,OTHERS,MARRIED,180,36,INDIVIDUAL,0.55,0,43,43,2,2,6,4,13,4,0,1,230,4,0,3,1,0,1,36010,0,36010,663,5267
